Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,SAP_P3E,3,3,3,3,3,0,3
SMO - SERVICE PLANIFICATION TE,ctmprod706,CTM_CTMPROD706,2,2,2,2,2,2,2
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,CTM_CTMTOOL701,10,10,10,10,10,10,10
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,CTM_EXPLOIT,50,50,50,50,50,50,50
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,CTM_PLAN,7,7,7,7,7,7,7
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_B3E,1,0,0,0,0,3,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_D3E,1,0,0,0,0,0,2
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_D6A,0,0,0,0,2,1,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_D6B,0,0,0,0,2,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_D8B,0,0,0,0,2,1,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_DE1,0,0,0,0,2,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_DX1,0,0,0,0,2,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_IXOS_INT,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_IXOS_PRD,0,0,0,0,0,1,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_P3E,2,2,2,2,2,0,2
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_PX1,0,0,0,0,0,0,2
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_SAV,1,1,1,1,1,1,1
